GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LRAT	1.64163745474797	4.64202880324544	9.90505899544228	3.26839842919801e-21	2.064622146198e-19	37.3653216022428
MCOLN3	1.63469479949873	4.16675537525355	15.0377919876405	2.50687047129458e-42	1.39097434528859e-39	85.4016036577937
SLCO1B3	1.63435116785018	3.22523975659229	6.62065860020337	9.37556057789286e-11	1.31385842091563e-09	13.7364143762271
MUC2	1.62539228453076	4.74527626774848	7.57850034541166	1.74951970620316e-13	3.86626906010236e-12	19.8760959955298
EPHA8	1.61510075710108	2.86328215010142	12.1401950683214	7.5215872316809e-30	1.20639207708132e-27	56.9935228880679
HNF1B	1.60939758423836	7.03488356997972	10.0678516000064	8.34657119717418e-22	5.7118368892662e-20	38.7105153901899
KHDRBS3	1.5952401420217	7.9405494929006	14.495509359117	6.60485038392112e-40	2.71195156763801e-37	79.8874700128942
EN2	1.5837445662768	3.37420365111562	9.33731917797198	3.40320172702418e-19	1.70409101111723e-17	32.7902648219019
LOC389493	1.57016754734056	4.81979208924949	9.7204890118931	1.50959550329786e-20	8.80454422804121e-19	35.857887176339
OR51E1	1.56512337266776	9.85727180527383	7.33374082291523	9.27621521965442e-13	1.8253407608112e-11	18.243559395209
C22orf42	1.54787703285992	1.59161440162272	9.74675212954178	1.21563235971972e-20	7.19219952306798e-19	36.0712222549438
SNAP91	1.54655317634363	6.9577354969574	8.8078383636943	2.18866427359298e-17	8.62442946964756e-16	28.6944502205972
MMEL1	1.54376547096909	4.96439046653144	10.4210104276873	4.11538239170428e-23	3.26211584948606e-21	41.6776961082674
CLSTN2	1.5408551796157	5.34884219066937	8.60921860030691	9.98629063182705e-17	3.52265544108951e-15	27.2026260875527
SLC5A1	1.53746352513226	8.5158817444219	9.84124226969123	5.55933559759969e-21	3.44813171657769e-19	36.8419647937758
EPHA5	1.53415265072403	5.54065720081136	8.45884342501057	3.09999691577694e-16	1.02155596598556e-14	26.0898565727102
AGT	1.53329163707879	7.68679553752535	8.95455217334792	7.02182372461947e-18	2.99704867081991e-16	29.8122507117077
GPRC5D	1.51196179163185	3.6770275862069	14.5203841203159	5.12351565703678e-40	2.19137034247844e-37	80.1386907181237
NCALD	1.51097759851014	9.31351277890467	14.822238654399	2.3192864690189e-41	1.16134027338922e-38	83.2005724963956
PDE8B	1.50210587928153	8.46834421906694	11.3081425376055	1.6256361824514e-26	1.84388457600703e-24	49.4101181164996
HABP2	1.49674339494569	2.57984137931034	9.33770131279444	3.39278661018677e-19	1.70302956252162e-17	32.7932816726159
GHR	1.47380143588135	9.51656592292088	13.582369035414	6.52337518210483e-36	1.88605331009287e-33	70.7903615944827
SLC3A1	1.46013879838484	4.26465212981744	8.64866472159079	7.40168300385334e-17	2.66590442226507e-15	27.4969201534707
TMC1	1.45996369221665	2.47820243407708	12.3165173587495	1.42364490541712e-30	2.49807093232594e-28	58.6381827271025
TBX1	1.4477297549429	7.91793569979716	9.77491821346376	9.63260181439981e-21	5.78237763887801e-19	36.3004461711359
GJB6	1.41263962858535	2.2877369168357	11.7641262019154	2.50957900985055e-28	3.48119304542107e-26	53.5287193335707
CST2	1.40268591095794	5.35676835699798	6.17232661511522	1.40780640893506e-09	1.59857663580956e-08	11.1001042547891
KIF25	1.40251437969924	2.20292068965517	11.0794371162824	1.27102938798015e-25	1.29822056394191e-23	47.3801403111603
